"group","comparison","estimate","CI_lower","CI_upper","p_value","n_yes_group","n_no_group","n_yes_other","n_no_other","p_fdr"
"00_12","00_other",1.27646330627921,0.940944593683236,1.7062459498621,0.095959493797686,58,517,486,5530,0.462076000455374
"00_03","00_other",1.19203623946849,0.893533327416069,1.56990197049908,0.211607191684835,65,618,479,5429,0.634821575054504
"00_01","00_other",0.60875577878607,0.41024844962704,0.876520662208297,0.00543841346493761,33,580,511,5467,0.101190381495948
"00_09","00_other",0.879914776485221,0.655660680204403,1.16411857950467,0.415540785088025,61,759,483,5288,0.843113167892505
"00_07","00_other",0.944845993462211,0.689421413376153,1.27328493702588,0.76753883321733,53,620,491,5427,1
"00_02","00_other",1.61608536703504,1.17481830092704,2.18861019583653,0.00291768642587568,54,386,490,5661,0.0863862523972689
"00_08","00_other",0.761310850488957,0.548007568881663,1.03751359172508,0.0867240387042784,48,682,496,5365,0.442846155085677
"00_05","00_other",1.02319401425664,0.685681295650425,1.48296114312366,0.850330830789343,33,359,511,5688,1
"00_06","00_other",1.02993273992312,0.728546339312127,1.42588644180715,0.86801360782248,44,476,500,5571,1
"00_04","00_other",1.04066076884786,0.751763840694856,1.41495558772918,0.813367163249295,50,536,494,5511,1
"00_10","00_other",0.982029118305173,0.670011858047392,1.40174268869785,1,36,407,508,5640,1
"00_11","00_other",0.933886939345988,0.413327574423604,1.85425795549395,1,9,107,535,5940,1
"05_03","05_other",0.923810324663659,0.696918374805554,1.20857175301829,0.597079209182513,66,716,588,5893,0.956979126085007
"05_02","05_other",0.915697292814805,0.69617599025137,1.18962723030874,0.562912840340002,70,765,584,5844,0.937639268253037
"05_08","05_other",1.12342146982328,0.858600053138621,1.45345207110245,0.380409215388445,74,674,580,5935,0.81516260440381
"05_05","05_other",1.24171687698039,0.969070536166209,1.57695688365479,0.0820792158052187,89,744,565,5865,0.428904710769572
"05_01","05_other",0.945582567315472,0.707115191020761,1.24671746045631,0.732052562735003,62,659,592,5950,1
"05_10","05_other",1.3395375243179,1.0726338095777,1.6623634821057,0.00940439574948844,115,908,539,5701,0.125391943326513
"05_09","05_other",1.0053844715229,0.76376243652801,1.30738643292552,0.94708176689014,70,704,584,5905,1
"05_04","05_other",0.197503036629067,0.0716010435915594,0.437590336440087,5.51965155480862e-07,6,296,648,6313,0.000132471637315407
"05_06","05_other",0.55258483005583,0.368295345651868,0.802401305262829,0.00106181404353327,31,546,623,6063,0.0804911203844257
"05_07","05_other",1.26815344954082,0.936147057714721,1.69246039622277,0.114068599996641,58,471,596,6138,0.497898918285217
"05_11","05_other",1.04350111045454,0.537503088337752,1.86335216142968,0.880690051069055,13,126,641,6483,1
"10_02","10_other",1.08147669980742,0.856327549095976,1.35502853561222,0.485099499388264,100,877,613,5814,0.881999089796844
"10_11","10_other",1.05529071041392,0.855084705972908,1.29484066919391,0.601046089322934,127,1140,586,5551,0.956979126085007
"10_04","10_other",0.678953330373724,0.504564254552538,0.899322048596075,0.00590277225393027,58,772,655,5919,0.101190381495948
"10_05","10_other",1.23599723150808,0.947124722964175,1.595522881222,0.112615952424588,76,589,637,6102,0.497898918285217
"10_08","10_other",0.793578023394475,0.56793332965031,1.08646226278388,0.163589140400044,46,535,667,6156,0.56087705280015
"10_01","10_other",0.592325194533573,0.337780365250487,0.974106441238592,0.0388131898710302,17,265,696,6426,0.307419087406234
"10_12","10_other",0.798578729470895,0.588004678128973,1.06673557607997,0.135543108576709,55,634,658,6057,0.52295116997901
"10_03","10_other",1.13874608891737,0.91156603414971,1.41285016792514,0.236245666587316,112,941,601,5750,0.684792857606437
"10_09","10_other",1.26932740413238,0.909283192666143,1.73935434014375,0.141632608535982,48,360,665,6331,0.52295116997901
"10_10","10_other",1.10569195548073,0.823676848751262,1.46319024649314,0.464838353451151,61,522,652,6169,0.866202016761826
"10_06","10_other",2.24038617669498,1.11704639962216,4.17965849590616,0.0127990021421374,13,55,700,6636,0.133554804961434
"10_07","10_other",0,0,363.912013349781,1,0,1,713,6690,1
"15_02","15_other",1.16710264369781,0.842778190387278,1.58771258244691,0.325140938418924,50,369,784,6753,0.750574639495496
"15_05","15_other",1.11722488152159,0.847048043240747,1.45548333696011,0.405909350697832,69,532,765,6590,0.843113167892505
"15_11","15_other",1.34115097903464,0.975378338243539,1.8141685697738,0.0634878274887575,53,343,781,6779,0.371636063348824
"15_09","15_other",0.951065918046607,0.733885211971448,1.21913724178522,0.757567461725766,78,697,756,6425,1
"15_08","15_other",0.974629552628683,0.724033154016236,1.29232450161564,0.943630611678399,59,516,775,6606,1
"15_06","15_other",0.966969297641917,0.71659900617376,1.28494839621113,0.887035703283726,58,511,776,6611,1
"15_10","15_other",0.88356459401428,0.6537589218651,1.17529408580598,0.446619057252357,57,546,777,6576,0.864423981778756
"15_12","15_other",0.853745659692287,0.628565020411799,1.14055280997844,0.298621240621905,55,544,779,6578,0.750574639495496
"15_01","15_other",1.34217835777046,1.05340298717487,1.69565263634537,0.0141647912158433,93,609,741,6513,0.141647912158433
"15_13","15_other",0.997067134461819,0.807622596857736,1.2232789369384,1,123,1053,711,6069,1
"15_03","15_other",0.76789641734187,0.619701702053071,0.94500560161334,0.0112787239885893,116,1238,718,5884,0.128899702726735
"15_07","15_other",1.22614106493057,0.751033722882817,1.91873941870445,0.392664049997687,23,161,811,6961,0.833976743357918
"15_04","15_other",0,0,20.6808517056851,1,0,3,834,7119,1
"20_10","20_other",1.76069185812826,1.28778720026864,2.37327994267836,0.000386824491337609,57,272,842,7075,0.0464189389605131
"20_07","20_other",1.0104484528158,0.817774233060263,1.24055235356875,0.917276754299304,121,980,778,6367,1
"20_13","20_other",1.14948957382078,0.8746681347869,1.49276170399552,0.300095714246318,71,510,828,6837,0.750574639495496
"20_03","20_other",0.971092374303619,0.666185744394862,1.37983561026113,0.930094350543841,37,311,862,7036,1
"20_11","20_other",0.71003851239731,0.555292669915248,0.898749169620812,0.00323948446489758,85,942,814,6405,0.0863862523972689
"20_02","20_other",1.07161147057737,0.870092128029751,1.31173214283059,0.498736587499926,126,970,773,6377,0.88664282222209
"20_01","20_other",1.0590932784635,0.847278720809003,1.3141644770006,0.579915035475436,108,839,791,6508,0.94680005791908
"20_09","20_other",1.08327904682479,0.864731750348805,1.3468533582192,0.464284894732855,106,807,793,6540,0.866202016761826
"20_05","20_other",0.890998890775916,0.682481321836947,1.14937809250193,0.420265197014585,73,663,826,6684,0.843113167892505
"20_06","20_other",0.857356423761388,0.63638376475287,1.13722056848728,0.309380971876908,58,547,841,6800,0.750574639495496
"20_12","20_other",0.980679930297468,0.691925911415126,1.36034356689739,1,43,358,856,6989,1
"20_04","20_other",0.744507884641889,0.385227132134054,1.32171030074616,0.363115246565278,13,142,886,7205,0.792465550563595
"20_08","20_other",1.36240980313936,0.0295879338875504,11.2494067356496,0.554413981484741,1,6,898,7341,0.933970207101182
"25_09","25_other",1.3585932096046,1.10048281736556,1.6672991996257,0.00395343023551488,125,778,811,6858,0.094882325652357
"25_08","25_other",1.31521617926658,1.01948669720288,1.68016090657904,0.0307520101737389,83,526,853,7110,0.263588658632047
"25_10","25_other",0.680270289214477,0.519791774924663,0.878931458060721,0.00245924583364584,70,811,866,6825,0.0863862523972689
"25_02","25_other",0.832181914411802,0.676448414319382,1.01728166114408,0.0746648632132619,124,1184,812,6452,0.416734120260066
"25_01","25_other",0.944422240119017,0.753051850653806,1.17512237037646,0.664215951818964,103,884,833,6752,1
"25_06","25_other",0.655062941318476,0.349249565224243,1.13536993912969,0.153715612476791,14,173,922,7463,0.542525691094556
"25_12","25_other",1.17636001760131,0.955685426349199,1.43938117205402,0.109766408604034,127,899,809,6737,0.497898918285217
"25_07","25_other",0.975954650131407,0.754707911475504,1.24853521378485,0.901746728903322,79,659,857,6977,1
"25_13","25_other",0.790442967581444,0.621210915868968,0.996161015749329,0.0444777346078027,89,896,847,6740,0.323474433511292
"25_03","25_other",1.42223825686437,1.10279614062535,1.81680481045175,0.00566959634387525,84,495,852,7141,0.101190381495948
"25_11","25_other",0.741401704508165,0.0172056806680625,5.11116906959814,1,1,11,935,7625,1
"25_04","25_other",0.965717549003328,0.643291227506812,1.4067846411725,0.925276598462446,32,270,904,7366,1
"25_05","25_other",0.814866864220359,0.252940340956431,2.03856168888122,0.829310846601708,5,50,931,7586,1
"30_03","30_other",0.744896031129444,0.589642714511971,0.932471820519185,0.0082650674063276,94,946,933,6994,0.116683304559919
"30_01","30_other",0.837904339553874,0.65407334136707,1.06244352206782,0.156127268959288,84,763,943,7177,0.543051370293175
"30_11","30_other",1.13939037065507,0.9298028632864,1.38804423517882,0.195744913648238,132,910,895,7030,0.618141832573382
"30_07","30_other",1.1572147994696,0.948704867706257,1.40404823524101,0.140236767785916,139,946,888,6994,0.52295116997901
"30_08","30_other",0.790292217802017,0.611687597914006,1.00961416820914,0.0584086204412709,78,748,949,7192,0.350451722647625
"30_05","30_other",1.3126251914061,1.06001344963926,1.61520615764275,0.010679988596206,120,727,907,7213,0.12868942359013
"30_13","30_other",1.15413575140988,0.887979686022823,1.48383359200902,0.258523038801904,77,521,950,7419,0.699734225321989
"30_04","30_other",0.819712878536597,0.66934109384013,0.997642985642795,0.0487179699752709,129,1184,898,6756,0.334471312109749
"30_12","30_other",0.914943098301806,0.591811213498092,1.36582901313095,0.768308792827343,28,236,999,7704,1
"30_09","30_other",1.19917269312657,0.932222334039684,1.52746741057592,0.136679663512449,84,549,943,7391,0.52295116997901
"30_10","30_other",1.3809756686827,0.975807190645453,1.91678326440417,0.0528771947271136,45,255,982,7685,0.334471312109749
"30_06","30_other",1.60298244775838,0.542803570713755,3.9421503371947,0.283802534628321,6,29,1021,7911,0.732393637750506
"30_02","30_other",0.671457787542952,0.325701007344943,1.24854441950681,0.27751145334576,11,126,1016,7814,0.731898338494312
"35_06","35_other",0.849516117086622,0.659078784525766,1.08323743991751,0.199764649557915,80,652,1071,7415,0.622643063557138
"35_01","35_other",1.24683155746368,1.03256816981107,1.4986322541706,0.0203699667006948,157,907,994,7160,0.181066370672843
"35_05","35_other",0.970046133273936,0.819505312559038,1.14423360035727,0.740674697906709,198,1423,953,6644,1
"35_04","35_other",0.846289431722258,0.61569368482146,1.14248109700091,0.315589943566065,51,419,1100,7648,0.750574639495496
"35_10","35_other",1.171261824911,0.996665436982774,1.37237275249854,0.0511419888333136,225,1386,926,6681,0.334471312109749
"35_03","35_other",1.01403515030896,0.84268422718734,1.21455130335818,0.890848182571302,160,1108,991,6959,1
"35_02","35_other",0.885472904221671,0.697322047291568,1.11400856261317,0.314960665479889,91,713,1060,7354,0.750574639495496
"35_07","35_other",0.232977919156857,0.0057085186873023,1.40428869811907,0.169732820922731,1,30,1150,8037,0.57128933193633
"35_13","35_other",0.744185391364567,0.503571655668566,1.06870968990482,0.117385522149485,34,317,1117,7750,0.497898918285217
"35_12","35_other",1.05030271506578,0.657626101445279,1.61400844945115,0.825152993723534,25,167,1126,7900,1
"35_11","35_other",0.872537429819726,0.668816157935826,1.12477730919822,0.325919742724231,73,581,1078,7486,0.750574639495496
"35_08","35_other",1.08344865693389,0.774262521972711,1.48741275188235,0.621613016533066,47,305,1104,7762,0.981494236631156
"35_09","35_other",1.06967904569561,0.465004175670837,2.179049888494,0.853354747654617,9,59,1142,8008,1
"40_04","40_other",1.15140207085556,0.94945367106232,1.38909147622582,0.138989062721323,147,932,1027,7497,0.52295116997901
"40_08","40_other",1.27093693609092,1.06179598482338,1.51511724091489,0.00803667216182222,174,1015,1000,7414,0.116683304559919
"40_12","40_other",0.839649200970576,0.634142139204239,1.09653605932024,0.203649600778754,65,550,1109,7879,0.62661415624232
"40_13","40_other",0.857692840702162,0.704257193392248,1.03847961039623,0.115937518639884,136,1117,1038,7312,0.497898918285217
"40_09","40_other",0.736688143308308,0.575195726683249,0.933561628219495,0.0107241186325108,83,789,1091,7640,0.12868942359013
"40_05","40_other",1.05709791842143,0.812942315272007,1.35916482715249,0.650928461149355,76,518,1098,7911,1
"40_10","40_other",1.17203747485781,0.978070489988928,1.39848624146845,0.076962519305281,170,1064,1004,7365,0.419795559846987
"40_01","40_other",1.32743973808265,0.80822251327635,2.09295246423566,0.206838522687375,23,125,1151,8304,0.628370195505949
"40_06","40_other",0.864079248567499,0.697697453766484,1.06246825801068,0.177062180808994,114,933,1060,7496,0.582122238276145
"40_03","40_other",1.05230147764557,0.716189473751987,1.50655527464893,0.7817687394108,36,246,1138,8183,1
"40_07","40_other",0.847458696264184,0.533706564480315,1.2930474962733,0.482357332256955,25,211,1149,8218,0.881999089796844
"40_11","40_other",0.957349530774345,0.774941886961317,1.17468995726978,0.720971763919255,118,881,1056,7548,1
"40_02","40_other",1.04733147882759,0.398851528468575,2.33533832562575,0.837101289418755,7,48,1167,8381,1
"45_02","45_other",0.718530145939792,0.566864415340322,0.901937940512552,0.00322663218553039,90,903,1110,8002,0.0863862523972689
"45_07","45_other",1.04177387026288,0.853969575335305,1.2634564249294,0.657232080090529,135,966,1065,7939,1
"45_03","45_other",1.07129031594941,0.888600923198482,1.28522706757524,0.453128264262417,155,1083,1045,7822,0.866202016761826
"45_05","45_other",1.21900503528121,1.00536463586503,1.47048778250331,0.0397082987899718,147,915,1053,7990,0.307419087406234
"45_08","45_other",0.947423973493464,0.791403627327527,1.12911593443586,0.57027814444086,167,1298,1033,7607,0.937639268253037
"45_01","45_other",0.988358189515355,0.796111117961426,1.21810718985009,0.958028906203207,112,840,1088,8065,1
"45_06","45_other",0.994195882414452,0.815343652778932,1.20525284113769,1,135,1007,1065,7898,1
"45_11","45_other",1.13521908584356,0.762983710520466,1.64352216851726,0.493883478916618,34,223,1166,8682,0.88664282222209
"45_09","45_other",1.0006187008255,0.780369136436596,1.27003007983959,1,84,623,1116,8282,1
"45_13","45_other",1.04390926338244,0.806193191964461,1.33689990470891,0.703997342264313,78,556,1122,8349,1
"45_12","45_other",1.04321329509034,0.586262344260985,1.74827436964299,0.894335790179294,17,121,1183,8784,1
"45_10","45_other",0.662890061419372,0.234415599013074,1.52466722116975,0.465583584009482,6,67,1194,8838,0.866202016761826
"45_04","45_other",0.978947064218941,0.681709875498259,1.37328504697372,1,40,303,1160,8602,1
"50_05","50_other",0.564743267077423,0.25077707198406,1.11635082796885,0.12359450415528,9,107,1356,9104,0.51142553443564
"50_03","50_other",0.954333656503721,0.795776272925618,1.13915164872563,0.627319157243409,162,1139,1203,8072,0.984030050577896
"50_11","50_other",1.2276807521614,1.00687720685471,1.48868844335784,0.0385529660899336,138,773,1227,8438,0.307419087406234
"50_12","50_other",0.864070669540712,0.708792091372276,1.04698668543897,0.13701870369144,133,1023,1232,8188,0.52295116997901
"50_10","50_other",1.10954824899856,0.914566785780303,1.33891743667737,0.281568120088284,144,885,1221,8326,0.732393637750506
"50_06","50_other",0.966413036997182,0.825765735133707,1.12754692592543,0.699257524551096,226,1569,1139,7642,1
"50_09","50_other",0.832131011995359,0.67673416994445,1.01629441598096,0.0694129832616843,121,964,1244,8247,0.396645618638196
"50_02","50_other",1.10718288864308,0.832869846217591,1.45246602370138,0.436344753420159,65,398,1300,8813,0.855014709046912
"50_01","50_other",1.00225003803583,0.712042188536996,1.38248874403452,1,45,303,1320,8908,1
"50_07","50_other",1.06508884345647,0.876616836219331,1.28698442611554,0.495719384764903,141,899,1224,8312,0.88664282222209
"50_04","50_other",0.90336437497314,0.597248290076303,1.32471867206249,0.708683521715456,31,231,1334,8980,1
"50_08","50_other",1.11260338530517,0.92035864096574,1.33816072217448,0.248692225974944,150,920,1215,8291,0.688368074348333
"55_12","55_other",0.928592033768575,0.775678864723391,1.10630157230258,0.435097677372786,164,1147,1319,8566,0.855014709046912
"55_11","55_other",1.05068764812321,0.888392346536494,1.23788262077915,0.556490581731121,194,1217,1289,8496,0.933970207101182
"55_05","55_other",0.904523945269867,0.762048078815799,1.06913497473121,0.249533426951271,182,1301,1301,8412,0.688368074348333
"55_07","55_other",0.942961594604539,0.715772546703149,1.22638798105373,0.696302542880529,68,471,1415,9242,1
"55_06","55_other",1.17856245345981,0.989812740050217,1.39771738714631,0.0583093620070641,180,1019,1303,8694,0.350451722647625
"55_04","55_other",1.17860547442536,0.827353429428803,1.64475249689689,0.328376404779279,43,240,1440,9473,0.750574639495496
"55_02","55_other",0.977870360320613,0.819701902959897,1.16144413112776,0.828980487196094,172,1149,1311,8564,1
"55_10","55_other",1.12255525282715,0.748241902917958,1.63796501297665,0.55156417876184,33,193,1450,9520,0.933970207101182
"55_09","55_other",0.995274882446141,0.842528663798106,1.17126626825298,1,196,1289,1287,8424,1
"55_01","55_other",0.836268486327034,0.678686788304655,1.02322962366807,0.0822067362308346,118,910,1365,8803,0.428904710769572
"55_03","55_other",1.09950047328934,0.858624422822134,1.39430107616512,0.421556583946253,86,515,1397,9198,0.843113167892505
"55_08","55_other",1.18060863835581,0.842134252181429,1.62451626003059,0.306827872740176,47,262,1436,9451,0.750574639495496
"60_05","60_other",0.799942696511411,0.596504207527135,1.05626819261155,0.118250993092739,59,486,1468,9673,0.497898918285217
"60_04","60_other",1.0699301304972,0.837473043001061,1.35377343587466,0.584288083260596,87,543,1440,9616,0.947494189071237
"60_09","60_other",0.997346417664341,0.840723774848852,1.17830022288766,1,184,1227,1343,8932,1
"60_10","60_other",1.16770660541617,1.00152292310619,1.35746474582563,0.04345426548534,239,1393,1288,8766,0.323474433511292
"60_06","60_other",1.02594043159266,0.880769524721813,1.19151362175214,0.73199466306412,239,1556,1288,8603,1
"60_02","60_other",0.909635983944673,0.758434661100592,1.08559240363815,0.316969886883576,159,1151,1368,9008,0.750574639495496
"60_07","60_other",1.0259384483868,0.744640911093265,1.38889056584541,0.877254468280949,51,331,1476,9828,1
"60_12","60_other",0.900806390854541,0.717349977060536,1.12149126075334,0.362718287364436,99,726,1428,9433,0.792465550563595
"60_08","60_other",1.05099285296142,0.885919039166935,1.24176205170801,0.549592262274076,185,1178,1342,8981,0.933970207101182
"60_11","60_other",1.02716141619856,0.847101852349879,1.23862371989285,0.774723967804445,142,922,1385,9237,1
"60_01","60_other",0.777527339202206,0.454869590841152,1.25870115068564,0.373031812038439,19,162,1508,9997,0.8065552692723
"60_03","60_other",0.874481396430596,0.659109112839786,1.14407754406913,0.363213377341648,64,484,1463,9675,0.792465550563595
"65_05","65_other",1.25703380665426,1.04774311541539,1.50120632468409,0.0125515801746788,163,946,1333,9725,0.133554804961434
"65_08","65_other",0.910096488393806,0.770505118995833,1.07071832176289,0.262400334495746,192,1486,1304,9185,0.699734225321989
"65_10","65_other",0.919741026183311,0.758747824609489,1.10841437454845,0.407496200343353,140,1077,1356,9594,0.843113167892505
"65_02","65_other",0.95693831844777,0.787657848317886,1.15581589343299,0.671719704636155,137,1017,1359,9654,1
"65_03","65_other",0.968942885279963,0.815968735510038,1.14567211341793,0.737024285899519,180,1320,1316,9351,1
"65_11","65_other",1.09147497366498,0.931557004732531,1.27458580304159,0.261310117136376,219,1449,1277,9222,0.699734225321989
"65_06","65_other",1.03067433341566,0.828786837900881,1.27198332547705,0.788199611742287,109,756,1387,9915,1
"65_12","65_other",1.00922790181203,0.787929224544912,1.27947237615147,0.951997028352836,84,594,1412,10077,1
"65_07","65_other",0.857485851797083,0.697056076467456,1.04745208669847,0.134984626293813,119,977,1377,9694,0.52295116997901
"65_04","65_other",0.748097953597324,0.523535791463261,1.04347254237762,0.0949287868081929,40,378,1456,10293,0.462076000455374
"65_01","65_other",1.01326241720813,0.726395127336693,1.38615237955655,0.936548266275444,47,331,1449,10340,1
"65_09","65_other",1.40235074289209,1.0543744883949,1.84185739236084,0.0169318964856806,66,340,1430,10331,0.162546206262534
"70_02","70_other",1.06474226444208,0.913892949318932,1.23667430186765,0.41898427169297,235,1512,1412,9673,0.843113167892505
"70_09","70_other",1.02204418575006,0.87280154523361,1.19273832526637,0.783288915928225,217,1446,1430,9739,1
"70_07","70_other",0.882340074922108,0.744310329819356,1.04144125134233,0.14524280223003,181,1373,1466,9812,0.525902883589175
"70_10","70_other",1.08314463698108,0.918476188228636,1.27251042573635,0.337755551897681,198,1253,1449,9932,0.758574814590431
"70_06","70_other",0.870700856912259,0.695034896313778,1.08149576113263,0.227852344377543,100,773,1547,10412,0.675118057414941
"70_03","70_other",0.951227614779241,0.769272813294441,1.16766301104615,0.683061039693094,114,811,1533,10374,1
"70_11","70_other",0.982002607383558,0.744334042673818,1.27862863082034,0.94714537507531,67,463,1580,10722,1
"70_01","70_other",1.05862137601531,0.881811799575323,1.26457440974388,0.522196243104017,158,1019,1489,10166,0.908167379311334
"70_04","70_other",1.01615704089721,0.868110379421527,1.18547474595674,0.844831278001836,218,1460,1429,9725,1
"70_08","70_other",0.98829510726422,0.770611736471979,1.25434314472737,1,83,570,1564,10615,1
"70_05","70_other",1.02309865244689,0.788398236883035,1.31260696641727,0.848985495949534,76,505,1571,10680,1
"75_09","75_other",1.07480335057059,0.862711548222915,1.32866411054262,0.509948945708722,107,709,1536,10939,0.899909904191862
"75_03","75_other",1.05156459391054,0.891971215855055,1.2349923288148,0.536105991262672,197,1336,1446,10312,0.925650632395981
"75_08","75_other",1.02137456652457,0.850090657824422,1.22083582179021,0.820326841816205,155,1078,1488,10570,1
"75_05","75_other",0.97448740675819,0.815263801267095,1.15917269416504,0.793907810423299,164,1190,1479,10458,1
"75_10","75_other",0.953808122939157,0.817002542926745,1.10985676260841,0.570397221520598,224,1654,1419,9994,0.937639268253037
"75_06","75_other",0.966718351947258,0.788734143402006,1.17702768322093,0.7676573302364,124,907,1519,10741,1
"75_02","75_other",1.01185672161599,0.837865127043512,1.2152613575135,0.889072523723072,146,1024,1497,10624,1
"75_11","75_other",1.00581355968153,0.836337049013162,1.20333833755616,0.927653565428403,153,1079,1490,10569,1
"75_04","75_other",1.01415064957022,0.845979526955819,1.2096954636179,0.857897082980152,159,1113,1484,10535,1
"75_07","75_other",0.982691122097157,0.800325387902193,1.19844863301455,0.920437741814776,122,879,1521,10769,1
"75_01","75_other",0.958234148908128,0.757254156289674,1.20126152161668,0.777989585770672,92,679,1551,10969,1
"80_11","80_other",0.994510129404637,0.823959754851358,1.19376514829839,1,146,1093,1469,10937,1
"80_09","80_other",1.01576789616249,0.845332810306112,1.21422009465456,0.856018441394671,154,1131,1461,10899,1
"80_04","80_other",0.920416844852681,0.741153088009366,1.13407829921282,0.471710045387061,108,869,1507,11161,0.870849314560727
"80_08","80_other",0.967051614367755,0.782724313297774,1.18605581216891,0.798376380367988,114,876,1501,11154,1
"80_05","80_other",0.999359179520208,0.846637100136901,1.17492191127647,1,192,1431,1423,10599,1
"80_10","80_other",0.903197006274565,0.740981472750265,1.09380069314013,0.324401341819804,130,1063,1485,10967,0.750574639495496
"80_06","80_other",1.27195443827015,1.06718010088662,1.50948032548889,0.00694002276060589,174,1043,1441,10987,0.111040364169694
"80_07","80_other",0.909518914674385,0.774981134799703,1.06343525777313,0.247834940361613,206,1666,1409,10364,0.688368074348333
"80_02","80_other",1.0590158666871,0.881015148680887,1.26644926023236,0.519237781324577,154,1089,1461,10941,0.908167379311334
"80_03","80_other",0.75085739592344,0.582463086878869,0.956583191741383,0.0196527205390114,77,752,1538,11278,0.181066370672843
"80_01","80_other",1.19076411364771,0.99277289736999,1.42137748187372,0.0529579577507103,160,1017,1455,11013,0.334471312109749
"85_09","85_other",0.740768979259492,0.609709053868339,0.894232073609589,0.00134151867307376,132,1272,1549,11057,0.0804911203844257
"85_06","85_other",0.972880757013832,0.806343533513647,1.16729527282727,0.819214779479216,146,1098,1535,11231,1
"85_02","85_other",0.953976764520404,0.783588364167264,1.15420047973344,0.669030020245709,132,1011,1549,11318,1
"85_04","85_other",1.17417197764273,0.967086550871865,1.41749990344108,0.098191150096767,139,879,1542,11450,0.462076000455374
"85_10","85_other",1.07482636778524,0.886042005694777,1.29617713656354,0.438195038386542,139,954,1542,11375,0.855014709046912
"85_03","85_other",0.998003930077178,0.835275643772217,1.18668640336528,1,164,1205,1517,11124,1
"85_01","85_other",1.01122257951188,0.85110781860728,1.19611493734355,0.898241138263518,176,1278,1505,11051,1
"85_08","85_other",0.982013376548004,0.823238983903809,1.16586551637226,0.862915349055387,167,1245,1514,11084,1
"85_05","85_other",1.09855851509282,0.899729973788007,1.332895640211,0.338197938171567,130,874,1551,11455,0.758574814590431
"85_07","85_other",0.970740093058214,0.814625700429513,1.15130037828422,0.764604607687721,169,1273,1512,11056,1
"85_11","85_other",1.11936165659789,0.945784324590247,1.3193106277832,0.182586107003177,187,1240,1494,11089,0.592171157848142
"90_07","90_other",0.945946600871841,0.776812174493584,1.14465344149249,0.602099366828483,131,1066,1518,11685,0.956979126085007
"90_01","90_other",1.16578195218055,0.970107457394065,1.39386594520207,0.0969368889259495,155,1042,1494,11709,0.462076000455374
"90_10","90_other",0.989181223115696,0.820560433886791,1.18587787488049,0.963512103854752,147,1148,1502,11603,1
"90_09","90_other",0.761604985771298,0.632999161773002,0.911129331387954,0.0023422543550797,147,1452,1502,11299,0.0863862523972689
"90_06","90_other",0.890353188221553,0.751947558757707,1.0496091913305,0.171386799580899,181,1551,1468,11200,0.57128933193633
"90_02","90_other",1.00266338008847,0.846467754044879,1.18259057391793,0.966668430286065,182,1404,1467,11347,1
"90_08","90_other",1.10076150609551,0.897100528952531,1.34155158567146,0.326900458020138,123,870,1526,11881,0.750574639495496
"90_03","90_other",1.15514258175474,0.943944122088507,1.4046081772992,0.146814555001978,127,859,1522,11892,0.525902883589175
"90_11","90_other",1.0625859118315,0.901375698194862,1.24770497850197,0.456517944763153,195,1429,1454,11322,0.866202016761826
"90_05","90_other",1.0188120165792,0.828954936551602,1.24344785437485,0.839257308129385,120,912,1529,11839,1
"90_04","90_other",1.07766684404088,0.88989932025903,1.29743430913269,0.413870096236907,141,1018,1508,11733,0.843113167892505
"95_09","95_other",0.792274687594505,0.667370562920598,0.936332707918274,0.0056483656694149,176,1843,1212,10055,0.101190381495948
"95_06","95_other",1.26593796625053,0.990405955201185,1.60221255907812,0.0525765534294989,86,590,1302,11308,0.334471312109749
"95_01","95_other",1.10775464334956,0.948003808664771,1.29025988504806,0.190802499683882,226,1777,1162,10121,0.610567998988422
"95_11","95_other",0.990479629343647,0.824781736619199,1.18337670756891,0.964200755187796,155,1340,1233,10558,1
"95_07","95_other",0.51037303899539,0.134928846470035,1.37191806337296,0.241710045790656,4,67,1384,11831,0.688368074348333
"95_02","95_other",1.02893453983406,0.861807931827902,1.22265725165527,0.724939164453019,167,1396,1221,10502,1
"95_05","95_other",0.997740767786834,0.862233682317351,1.1515710972707,1,262,2250,1126,9648,1
"95_10","95_other",1.00283072235246,0.66500307128054,1.46525304343952,1,31,265,1357,11633,1
"95_03","95_other",0.989571000983983,0.811287947353966,1.19937837599196,0.961324589503241,130,1125,1258,10773,1
"95_08","95_other",1.17756701228933,0.880606526165861,1.55187652681142,0.236824196588893,61,447,1327,11451,0.684792857606437
"95_04","95_other",0.964466830538438,0.761036377135376,1.21045158836227,0.820245385244965,90,798,1298,11100,1
